X,Y,Z
-6.241069574181152824e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-6.597702121277220222e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-6.954334668373283179e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-7.310967215469350577e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-7.667599762565413535e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-8.024232309661480933e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-8.380864856757548331e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-8.737497403853611289e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-9.094129950949678687e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-9.450762498045746085e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-9.807395045141809042e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-1.016402759223787644e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.052066013933394384e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.087729268643000680e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.123392523352607419e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.159055778062214159e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.194719032771820455e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.230382287481427195e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.266045542191033491e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.301708796900640230e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.337372051610246970e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.373035306319853266e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.408698561029460006e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.444361815739066746e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.480025070448673041e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.515688325158279781e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.551351579867886521e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.587014834577492817e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.622678089287099557e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.658341343996706296e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.694004598706312592e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.729667853415919332e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-1.765331108125525628e+00,9.500255282415541558e+01,-1.800000000000000000e+02
-2.511692495802400060e+01,9.000255282415541558e+01,-1.800000000000000000e+02
-2.460951233260937343e+01,9.000255282415541558e+01,-1.800000000000000000e+02
